Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,WeeksNom,TimeNom,Weeks,FullGroup,Time
5.082524905323465,0.515288455093527,4.171778074498512,6.19001727355488,FP,Female,4,0,4,Female_FP,0
29.571640962136186,3.7257622109694357,23.068939502948872,37.600896239879965,FP,Female,4,30,4,Female_FP,30
15.649131323432858,1.5974491611664177,12.827312285914328,19.07504821622313,FP,Female,4,60,4,Female_FP,60
6.070489729757416,0.5797768227676006,5.038695040228737,7.306784300392482,FP,Male,4,0,4,Male_FP,0
38.22241078707726,4.746214388396888,29.908414313860256,48.518097279944854,FP,Male,4,30,4,Male_FP,30
23.92801384235216,2.285597084480439,19.84698040011758,28.805202727486627,FP,Male,4,60,4,Male_FP,60
4.442160982588021,0.45965443094814656,3.628852977656643,5.431555255406551,FP,Female,8,0,8,Female_FP,0
26.037031908799555,2.6921005647630922,21.271588958920887,31.81011608312103,FP,Female,8,30,8,Female_FP,30
12.275991688786847,1.269929032996467,10.033811746674498,15.00610679304309,FP,Female,8,60,8,Female_FP,60
4.998689751660202,0.48309325112905954,4.136900058204378,6.0273803345977,FP,Male,8,0,8,Male_FP,0
32.00096705965637,3.648178216808206,25.481592932906075,39.76922513325967,FP,Male,8,30,8,Male_FP,30
20.80052088821171,2.0111081927150414,17.21706655262651,25.09324000710933,FP,Male,8,60,8,Male_FP,60
3.850634118146307,0.4237474681480973,3.103674991165372,4.762762637454908,FP,Female,10,0,10,Female_FP,0
35.27974092671862,4.853640541035045,26.97560309373085,45.859094082204734,FP,Female,10,30,10,Female_FP,30
18.84887727884158,2.0802265094670473,15.171182171585412,23.32390910988917,FP,Female,10,60,10,Female_FP,60
4.930679925447886,0.506817317669265,4.028270435332237,6.01576745631008,FP,Male,10,0,10,Male_FP,0
35.615195712277355,5.0334636305069305,27.082452358439163,46.857186235324114,FP,Male,10,30,10,Male_FP,30
26.4794567086679,3.017496517007648,21.206115714294526,33.0122143326452,FP,Male,10,60,10,Male_FP,60
4.299118959401184,0.4726600563922743,3.4626684751137375,5.317245072863805,FP,Female,12,0,12,Female_FP,0
34.62141684438349,4.684358994715853,26.47794261941055,44.82715106506012,FP,Female,12,30,12,Female_FP,30
18.56986957523529,2.0471484359582006,14.952839238102296,22.95811778670012,FP,Female,12,60,12,Female_FP,60
4.689613966467518,0.48358706256497563,3.8285250745801886,5.724272181563625,FP,Male,12,0,12,Male_FP,0
29.94334466582973,3.3876634038476876,23.91280078381679,37.16795947884707,FP,Male,12,30,12,Male_FP,30
23.23372880153554,2.4000865646617013,18.952342767006854,28.371468330400194,FP,Male,12,60,12,Male_FP,60
4.480323226516094,0.6528077119935413,3.347298125204566,5.899582038844334,FP,Female,16,0,16,Female_FP,0
31.709638116342802,5.116360562646009,22.934335304902003,42.92814914598178,FP,Female,16,30,16,Female_FP,30
21.501600415240038,3.135558462652186,16.062724178018215,28.32542581896614,FP,Female,16,60,16,Female_FP,60
17.146353556203753,2.5005093636441424,12.796091257413227,22.584921680015913,FP,Female,16,90,16,Female_FP,90
13.365284669546334,1.9545127694209543,9.972352881122609,17.617230618741633,FP,Female,16,120,16,Female_FP,120
4.919136695867786,0.6724689849489123,3.744603232732513,6.377086877994174,FP,Male,16,0,16,Male_FP,0
26.602572247294454,4.0074357333778154,19.60483187155838,35.298276918927186,FP,Male,16,30,16,Male_FP,30
21.346082817209858,2.912814678305844,16.24125019032629,27.65438209778081,FP,Male,16,60,16,Male_FP,60
18.043365548629975,2.461694240867742,13.719607814543822,23.36620551978962,FP,Male,16,90,16,Male_FP,90
14.08238989271281,1.9192060105141495,10.71403187392228,18.23371465375524,FP,Male,16,120,16,Male_FP,120
4.131273454773827,0.6774268059588878,2.970045769858622,5.625470065182186,FP,Female,21,0,21,Female_FP,0
30.996402865027537,5.088828221867229,22.275944110400765,42.16614085653227,FP,Female,21,30,21,Female_FP,30
16.817095210503062,2.7664881574754743,12.070632523011845,22.906850469447406,FP,Female,21,60,21,Female_FP,60
12.3459832247938,2.0299146046111405,8.852981052964804,16.803503223424144,FP,Female,21,90,21,Female_FP,90
10.641230106451156,1.7495359997800741,7.644724447285694,14.496015587227667,FP,Female,21,120,21,Female_FP,120
4.761346014249944,0.7325746838173588,3.492141634621425,6.363798697062435,FP,Male,21,0,21,Male_FP,0
33.234790182536884,5.107731891063706,24.400685830925095,44.39440196210597,FP,Male,21,30,21,Male_FP,30
26.032648411051746,3.9983647148730577,19.09429659457668,34.78271354412606,FP,Male,21,60,21,Male_FP,60
18.68407210993474,2.8676814558756325,13.712130157830359,24.953998798651444,FP,Male,21,90,21,Male_FP,90
15.54256486873064,2.3928341064643743,11.398214475810722,20.775061497697454,FP,Male,21,120,21,Male_FP,120
5.241797342999827,0.5006455675791298,4.350230723281512,6.3107974651495615,KC,Female,4,0,4,Female_KC,0
26.730130168502992,2.646663310027562,21.99610610319821,32.38198964748481,KC,Female,4,30,4,Female_KC,30
14.80041609105616,1.4157301088528533,12.279544817429816,17.82833410189456,KC,Female,4,60,4,Female_KC,60
5.726987161258395,0.5462478359232735,4.753257107166438,6.892602178043768,KC,Male,4,0,4,Male_KC,0
39.25652126700056,4.644470538476494,30.762413575759126,49.054876556174314,KC,Male,4,30,4,Male_KC,30
24.269946551512028,2.317400435402209,20.1446713544303,29.223787864055154,KC,Male,4,60,4,Male_KC,60
5.175750870605617,0.49993286633840994,4.286654761994207,6.2435318606695445,KC,Female,8,0,8,Female_KC,0
25.922329184249005,2.510200554366307,21.45084485663288,31.293699445652145,KC,Female,8,30,8,Female_KC,30
