Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,TimeNom,FullGroup,Time
7.940710114854707,2.128783173383616,3.8955367499999998,12.263602499999996,FP,Female,0,Female_FP,0
5.496634276320994,2.2951446551458936,1.0143889999999998,10.027793249999995,FP,Male,0,Male_FP,0
10.63276569546233,2.42325131035649,5.895818975,15.427573499999996,FP,Female,7,Female_FP,7
7.517208003923462,2.317512150780477,2.916289749999999,12.074613649999998,FP,Male,7,Male_FP,7
14.778440150582485,2.3580693723834285,10.407993850000002,19.666811,FP,Female,15,Female_FP,15
10.680990431446522,2.262642112690424,6.369008750000001,15.289180549999996,FP,Male,15,Male_FP,15
14.38772570999116,2.3098572301578235,10.048819250000001,19.145940500000002,FP,Female,60,Female_FP,60
8.901858883201095,2.264298817656943,4.541989749999999,13.51762345,FP,Male,60,Male_FP,60
16.635983928655246,3.086102680976328,10.84920975,23.016321999999995,KC,Female,0,Female_KC,0
9.772016351945222,3.25004342509316,3.880959475,16.575311749999994,KC,Male,0,Male_KC,0
22.102137307013358,3.887459013615247,14.40201215,29.76843025,KC,Female,7,Female_KC,7
11.685147958654886,3.4014837890175103,5.462319375000002,19.050305924999996,KC,Male,7,Male_KC,7
32.99871977413049,4.36722435327157,24.039538750000002,41.11397699999999,KC,Female,15,Female_KC,15
18.491310732070804,3.460566104774108,12.173796,25.947945499999992,KC,Male,15,Male_KC,15
30.801418818788363,3.980629891911562,22.640178050000003,38.32625124999998,KC,Female,60,Female_KC,60
15.84044978789598,3.5260072954700252,9.357126749999997,23.406471249999996,KC,Male,60,Male_KC,60
7.6757214299679015,2.4645093508736466,3.0210284999999995,12.644150999999999,TC,Female,0,Female_TC,0
9.52970250311566,2.803042589055463,4.488496250000001,15.391015499999995,TC,Male,0,Male_TC,0
7.806897193796285,2.755358787365258,2.8153447500000013,13.293081199999998,TC,Female,7,Female_TC,7
12.621229754171202,3.073892274963862,6.90913315925,18.750395749999978,TC,Male,7,Male_TC,7
17.629613504024015,2.7441047674303896,12.132618350000001,22.7046215,TC,Female,15,Female_TC,15
22.77980151759528,2.968760682591022,16.831917925,28.516522499999997,TC,Male,15,Male_TC,15
17.46543305968021,3.1264028028922026,11.921009750000001,24.201451874999993,TC,Female,60,Female_TC,60
19.75452633058416,3.0404614602294258,13.930321475,25.84561025,TC,Male,60,Male_TC,60
