Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,TimeNom,FullGroup,Time
6.6353723508192815,0.4208896207841271,5.803020856162239,7.457565150485596,FP,Female,0,Female_FP,0
8.380171218639926,0.4045722039470244,7.576305929591327,9.168228044573931,FP,Male,0,Male_FP,0
4.89653233689609,0.4339203527620692,4.028895055861744,5.735554062008656,FP,Female,10,Female_FP,10
8.125128391782761,0.39897913859748974,7.330184451553712,8.901114226842624,FP,Male,10,Male_FP,10
3.3844836388629647,0.41996389770686454,2.537445501041918,4.187603730799258,FP,Female,20,Female_FP,20
5.243086034764419,0.39333783394422334,4.450933815502443,5.998119556950415,FP,Male,20,Male_FP,20
3.242747294484052,0.4199843596880858,2.3950348461650046,4.0484771688545,FP,Female,30,Female_FP,30
6.005131217213963,0.40075164980541,5.198032332652904,6.774938445310417,FP,Male,30,Male_FP,30
3.068312729377582,0.422444013796523,2.2247961100111584,3.8847955045896243,FP,Female,60,Female_FP,60
6.665263211571333,0.40041803041046437,5.866168766428866,7.438792420294879,FP,Male,60,Male_FP,60
3.933922084349558,0.41682698578218097,3.100843066940168,4.743470630792092,FP,Female,90,Female_FP,90
6.755061212084452,0.40254790228281323,5.949790933233628,7.529796625567415,FP,Male,90,Male_FP,90
4.951341796852861,0.4234563457411038,4.093968257364606,5.7567272471420194,FP,Female,120,Female_FP,120
6.45157474739149,0.3989992647707675,5.655591604112049,7.222932180006994,FP,Male,120,Male_FP,120
5.300228991772808,0.3915534032103746,4.510064800801677,6.054566506422967,KC,Female,0,Female_KC,0
7.350288122292392,0.3967493107793251,6.573929396675978,8.135524794487791,KC,Male,0,Male_KC,0
3.0984789241072175,0.39533975365957524,2.3017845720427452,3.858651358792443,KC,Female,10,Female_KC,10
6.208105384091174,0.39209799322406674,5.439034587923654,6.9817587622263355,KC,Male,10,Male_KC,10
2.5847793115161117,0.4040371951876805,1.763909110951816,3.354078503261116,KC,Female,20,Female_KC,20
4.3108887314991025,0.3838829843752764,3.5474637062145646,5.055239131301283,KC,Male,20,Male_KC,20
2.300189154195338,0.4020949741231651,1.489373053053491,3.066998889239601,KC,Female,30,Female_KC,30
4.069051561769888,0.40102612161089335,3.2606884712555426,4.836929501004383,KC,Male,30,Male_KC,30
2.311340192010917,0.3998812588404984,1.510860201830163,3.082125738490949,KC,Female,60,Female_KC,60
4.401984570922717,0.40254183824302486,3.587632872178264,5.169210451480698,KC,Male,60,Male_KC,60
3.442279037786045,0.41655949241207557,2.5984117075874016,4.2337446128664675,KC,Female,90,Female_KC,90
4.03701107786144,0.41199906666472086,3.2134140080619957,4.832252285598875,KC,Male,90,Male_KC,90
4.105588796342831,0.41457261157509234,3.264734392583094,4.895486330517848,KC,Female,120,Female_KC,120
4.13822940261343,0.4149924675551496,3.304423817179091,4.934380506283295,KC,Male,120,Male_KC,120
5.00970903194851,0.3930568171101739,4.217719280590141,5.763755522280975,TC,Female,0,Female_TC,0
5.489926069008113,0.46315929194510874,4.571448676367981,6.393932974887496,TC,Male,0,Male_TC,0
3.187839083760868,0.4044844293717858,2.3714532084502324,3.964578352992664,TC,Female,10,Female_TC,10
4.378698461392767,0.47827550746691416,3.4472031909953587,5.3294844804068315,TC,Male,10,Male_TC,10
2.2940119174518414,0.401805374524341,1.4828122725088582,3.064715773262031,TC,Female,20,Female_TC,20
3.430354048077879,0.4675510049802956,2.479037578992227,4.318238157740232,TC,Male,20,Male_TC,20
2.1615230766843867,0.4029127704148142,1.3476146220289424,2.9271018911498463,TC,Female,30,Female_TC,30
4.0472203695560545,0.4633477509906572,3.106094835501927,4.927929837241346,TC,Male,30,Male_TC,30
2.3075876765170995,0.40162502169414843,1.4940895738055346,3.0733932071327597,TC,Female,60,Female_TC,60
4.128440484983619,0.46680284266407635,3.188785163548121,5.022611898214241,TC,Male,60,Male_TC,60
3.4335569056478805,0.4022306390732362,2.627610088177998,4.209528061440008,TC,Female,90,Female_TC,90
4.290601024758983,0.4680248769766121,3.3520310204312733,5.192502906677639,TC,Male,90,Male_TC,90
4.310588721099033,0.39316904124725527,3.517560606387952,5.062095223545366,TC,Female,120,Female_TC,120
4.539900561313343,0.4682235475334701,3.5950283681051105,5.436000479251671,TC,Male,120,Male_TC,120
