Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,TimeNom,FullGroup,Time
33.11293552788712,17.781475265635237,4.663234070364005,76.57927794066902,FP,Female,0,Female_FP,0
32.73001711120789,17.277678007021038,5.187764086334239,73.4754640915177,FP,Male,0,Male_FP,0
43.309424657740834,19.16204824236981,6.493854679031239,81.99754111350344,FP,Female,7,Female_FP,7
44.57078328388706,17.61994179984369,11.030171197470654,80.83210246192871,FP,Male,7,Male_FP,7
36.743466685838705,25.880621811207334,-15.13559295744888,86.6868366610914,FP,Female,15,Female_FP,15
57.619785337757115,23.46213444189743,11.070163033701236,104.16406691883937,FP,Male,15,Male_FP,15
48.05774254720567,24.532429823589506,5.0110813022353495,91.55626456052883,FP,Female,60,Female_FP,60
39.27858918427636,24.68405013571645,-3.8951719448531072,84.81518391289819,FP,Male,60,Male_FP,60
41.31871294398018,17.980062356862188,12.24271058080088,83.53153409689766,KC,Female,0,Female_KC,0
40.912677239806015,20.859825345665556,9.153145494522985,93.18138418806734,KC,Male,0,Male_KC,0
100.60178982593371,16.87646874728531,67.46147696372664,133.9471442370037,KC,Female,7,Female_KC,7
43.42567381786529,19.050991637071824,7.402357929689265,82.54827446885496,KC,Male,7,Male_KC,7
159.80752277029936,23.3954253804553,115.29354684821617,206.85695370696268,KC,Female,15,Female_KC,15
81.60283593381982,25.785539933124213,31.439273623865716,133.8759556935523,KC,Male,15,Male_KC,15
127.84447476241394,24.99947389475707,88.03032596615269,175.5206029059194,KC,Female,60,Female_KC,60
49.95329295088073,26.98523874204823,2.131726181037421,99.49384535294593,KC,Male,60,Male_KC,60
36.584466875578606,16.83225190917186,8.652196018931086,74.5721917736235,TC,Female,0,Female_TC,0
40.4651155169787,19.466680411467546,8.289974725332815,87.60448059056576,TC,Male,0,Male_TC,0
44.8374091410788,18.32290635258791,10.01693968457399,82.15008010190164,TC,Female,7,Female_TC,7
74.17276596030716,19.39542878349647,36.191591740177614,113.01631911143105,TC,Male,7,Male_TC,7
84.50482860529371,23.653333360055743,37.12560760668188,130.7764800084642,TC,Female,15,Female_TC,15
138.3378215199626,26.500555975376024,85.95598896052422,191.06014954747462,TC,Male,15,Male_TC,15
81.93755889818064,38.55908339533286,40.54737791684719,130.04840064704388,TC,Female,60,Female_TC,60
84.02077117899496,27.066924099429745,35.48644750854871,131.21334179141388,TC,Male,60,Male_TC,60
