AnimalID	Time	BG.Start	BG.End	Date	Delivery	GLP1.Start	GLP1.End	Ins.Start	Ins.End	Gcg.Start	Gcg.End
TJKV06M.06	7	7	7	2018/08/07	ArgTT	21.1712665480824	21.1712665480824	9.09384701403593	9.09384701403593	24.4575681042596	24.4575681042596
TJKV06M.07	7	13.7	13.7	2018/08/07	ArgTT	0	13.333333333333334	0.274624336045435	0.274624336045435	0	180
TJKV06M.13	7	10.6	10.6	2018/08/07	ArgTT	21.1712665480824	21.1712665480824	1.38064997936893	1.38064997936893	0	180
TJKV06M.15	7	12	12	2018/08/07	ArgTT	23.4889912661434	23.4889912661434	1.013740814967	1.013740814967	0	180
TJKV06M.18	7	13.5	13.5	2018/08/07	ArgTT	37.4978066119838	37.4978066119838	2.46892774846922	2.46892774846922	128.482788735605	128.482788735605
TJKV06M.20	7	3.5	3.5	2018/08/07	ArgTT	98.2389492513103	98.2389492513103	1.57255234381525	1.57255234381525	573.592036905483	573.592036905483
TJKV06M.03	7	3.6	3.6	2018/08/07	ArgTT	13.5644971906429	13.5644971906429	3.09941747647572	3.09941747647572	0	180
TJKV06M.28	7	6.3	6.3	2018/08/07	ArgTT	95.277290540957	95.277290540957	3.62139553015573	3.62139553015573	359.338020125411	359.338020125411
TJKV06M.29	7	4.8	4.8	2018/08/07	ArgTT	132.477825716644	132.477825716644	2.62825247531998	2.62825247531998	653.363348485935	653.363348485935
TJKV06M.34	7	3.9	3.9	2018/08/07	ArgTT	82.4469478555391	82.4469478555391	3.61964595365569	3.61964595365569	381.70273312758	381.70273312758
TJKV06M.41	7	4.1	4.1	2018/08/07	ArgTT	78.7412136127581	78.7412136127581	1.83014799222568	1.83014799222568	364.069106597106	364.069106597106
TJKV06M.42	7	6.5	6.5	2018/08/07	ArgTT	53.6523571363403	53.6523571363403	2.09451311313786	2.09451311313786	195.130267317769	195.130267317769
TJKV06M.43	7	7.2	7.2	2018/08/07	ArgTT	75.0851131768023	75.0851131768023	6.47486776212525	6.47486776212525	364.069106597106	364.069106597106
TJKV06M.45	7	4.3	4.3	2018/08/07	ArgTT	87.5588001456772	87.5588001456772	4.31611725569545	4.31611725569545	375.914965421529	375.914965421529
TJKV06M.01	7	6.8	6.8	2018/08/07	ArgTT	1.10552435514999	1.10552435514999	0.83764933047565	0.83764933047565	0	180
TJKV06M.04	7	7.3	7.3	2018/08/07	ArgTT	31.1135921878464	31.1135921878464	3.16957170167417	3.16957170167417	221.677317231104	221.677317231104
TJKV06M.05	7	11.3	11.3	2018/08/07	ArgTT	27.7899594454564	27.7899594454564	1.56890080316434	1.56890080316434	0	180
TJKV06M.19	7	11.7	11.7	2018/08/07	ArgTT	27.15294233217	27.15294233217	6.56145915230845	6.56145915230845	250.336608645076	250.336608645076
TJKV06M.22	7	8.6	8.6	2018/08/07	ArgTT	19.6748218711408	19.6748218711408	1.32464987105732	1.32464987105732	0	180
TJKV06M.23	7	8.2	8.2	2018/08/07	ArgTT						
TJKV06M.24	7	6.5	6.5	2018/08/07	ArgTT						
TJKV06M.30	7	7.1	7.1	2018/08/07	ArgTT	44.745662192829	44.745662192829	3.23992283537531	3.23992283537531	323.69737824143	323.69737824143
TJKV06M.25	7	9.7	9.7	2018/08/07	ArgTT	23.1115670695365	23.1115670695365	1.35876459779958	1.35876459779958	0	180
TJKV06M.27	7	9.9	9.9	2018/08/07	ArgTT	37.2457121177606	37.2457121177606	1.62852547981716	1.62852547981716	221.677317231104	221.677317231104
TJKV06M.31	7	4.7	4.7	2018/08/07	ArgTT	0	13.333333333333334	1.17320343507548	1.17320343507548	0	180
TJKV06M.33	7	6.9	6.9	2018/08/07	ArgTT						
TJKV06M.40	7	5	5	2018/08/07	ArgTT	53.9604110389855	53.9604110389855	1.77553685165758	1.77553685165758	300.444719079532	300.444719079532
TJKV06M.44	7	7.7	7.7	2018/08/07	ArgTT	23.4391337297285	23.4391337297285	5.86579290892925	5.86579290892925	128.482788735605	128.482788735605
TJKV06M.46	7	5.7	5.7	2018/08/07	ArgTT						
TJKV06M.10	7	5.2	5.2	2018/08/07	ArgTT	31.0024202781578	31.0024202781578	3.62989448174484	3.62989448174484	0	180
TJKV06M.12	7	6.3	6.3	2018/08/07	ArgTT	63.6228672814522	63.6228672814522	18.2823812890913	18.2823812890913	564.687456010072	564.687456010072
TJKV06M.14	7	8.5	8.5	2018/08/07	ArgTT	63.4039388071526	63.4039388071526	10.1389828723919	10.1389828723919	344.012119276955	344.012119276955
TJKV06M.16	7	6.4	6.4	2018/08/07	ArgTT	36.3980986131482	36.3980986131482	9.56441764867881	9.56441764867881	280.418939103734	280.418939103734
TJKV06M.17	7	7.9	7.9	2018/08/07	ArgTT	30.6445286536574	30.6445286536574	7.60621223923824	7.60621223923824	103.891041666372	103.891041666372
TJKV06M.21	7	7	7	2018/08/07	ArgTT	8.04436281736522	8.04436281736522	3.79516945445789	3.79516945445789	0	180
TJKV06M.26	7	4.8	4.8	2018/08/07	ArgTT	10.9674658804048	10.9674658804048	2.63263545416966	2.63263545416966	0	180
TJKV06M.32	7	3.3	3.3	2018/08/07	ArgTT	29.8083964061636	29.8083964061636	0.877111578989679	0.877111578989679	160.753275034688	160.753275034688
TJKV06M.35	7	5.4	5.4	2018/08/07	ArgTT	23.4889912661434	23.4889912661434	2.29766205669223	2.29766205669223	0	180
