Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,TimeNom,FullGroup,Time
0.8185878303125,0.1516545093662769,0.5212627500000001,1.119,FP,Female,0,Female_FP,0
0.5763164320044315,0.1340953180044197,0.311364825,0.8391102224999998,FP,Male,0,Male_FP,0
0.32644562556507983,0.1537261762896675,0.024349924999999984,0.6289911,FP,Female,30,Female_FP,30
0.413471763800868,0.13517740363311193,0.14780457499999997,0.6785014374999995,FP,Male,30,Male_FP,30
0.30767689304470835,0.1531799817707501,0.0050579000000000075,0.6094304749999992,FP,Female,60,Female_FP,60
0.4356050552409999,0.13503880194283915,0.16961290000000007,0.6997888824999996,FP,Male,60,Male_FP,60
1.6420754177445833,0.1555574932063678,1.336001925,1.9503531,KC,Female,0,Female_KC,0
0.8815553609114744,0.14789113416959376,0.5912259750000001,1.17233105,KC,Male,0,Male_KC,0
0.45121677783944897,0.1547839419555011,0.14732232499999998,0.7568313249999994,KC,Female,30,Female_KC,30
0.49525415320514427,0.14388419119281995,0.212217265,0.7773630049999997,KC,Male,30,Male_KC,30
0.07398431924936111,0.16722168182088426,-0.2425310250000003,0.4240402249999999,KC,Female,60,Female_KC,60
0.4935012360870483,0.14515807719224233,0.20850647749999998,0.7783841749999998,KC,Male,60,Male_KC,60
1.05277690703331,0.1303920494055708,0.79546468,1.3102186749999993,TC,Female,0,Female_TC,0
1.5703966411478334,0.16455419414923197,1.2467137,1.8942532499999996,TC,Male,0,Male_TC,0
0.37087909392340207,0.13166286337265343,0.11186573999999995,0.6305810749999999,TC,Female,30,Female_TC,30
0.65653385263006,0.16332238146933695,0.33478194999999994,0.9786081124999998,TC,Male,30,Male_TC,30
0.3545171979485462,0.1306128766385443,0.097055,0.6103484174999995,TC,Female,60,Female_TC,60
0.3898269922823507,0.16499267719368277,0.06706887500000004,0.7177320499999997,TC,Male,60,Male_TC,60
