AnimalID	Time	CP.Start	CP.End	BG.Start	BG.End	Date	Delivery
TJKV06M.18	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.02	30	0.036597323307842	0.036597323307842	33.3	147	2018/03/20	IP
TJKV06M.26	30	0	0.008333	30.1	30.1	2018/03/20	IP
TJKV06M.32	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.35	30	0	0.008333	25.5	25.5	2018/03/20	IP
TJKV06M.36	30	0	0.008333	24.2	24.2	2018/03/20	IP
TJKV06M.37	30	0	0.008333	24.3	24.3	2018/03/20	IP
TJKV06M.38	30	0	0.008333	17.7	17.7	2018/03/20	IP
TJKV06M.47	30	0	0.008333	24.3	24.3	2018/03/20	IP
TJKV06M.48	30	0	0.008333	30.4	30.4	2018/03/20	IP
TJKV06M.10	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.08	30	0.094226115094047	0.094226115094047	32.2	32.2	2018/03/20	IP
TJKV06M.12	30	0.25735368266568	0.25735368266568	29.7	29.7	2018/03/20	IP
TJKV06M.14	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.16	30	0.056206080937124	0.056206080937124	29.9	29.9	2018/03/20	IP
TJKV06M.17	30	0	0.008333	33.3	147	2018/03/20	IP
TJKV06M.21	30	0	0.008333	28.7	28.7	2018/03/20	IP
TJKV06M.25	60	0	0.008333	13.9	13.9	2018/03/20	IP
TJKV06M.27	60	0	0.008333	20.2	20.2	2018/03/20	IP
TJKV06M.31	60	0	0.008333	11.8	11.8	2018/03/20	IP
TJKV06M.33	60	0	0.008333	17.8	17.8	2018/03/20	IP
TJKV06M.40	60	0	0.008333	11.9	11.9	2018/03/20	IP
TJKV06M.44	60	0	0.008333	17.8	17.8	2018/03/20	IP
TJKV06M.46	60	0	0.008333	15.1	15.1	2018/03/20	IP
TJKV06M.30	60	0	0.008333	23	23	2018/03/20	IP
TJKV06M.04	60	0.191544558113655	0.191544558113655	27	27	2018/03/20	IP
TJKV06M.05	60	0.097001921823185	0.097001921823185	28.5	28.5	2018/03/20	IP
TJKV06M.01	60	0	0.008333	26	26	2018/03/20	IP
TJKV06M.19	60	0	0.008333	20	20	2018/03/20	IP
TJKV06M.22	60	0	0.008333	25.5	25.5	2018/03/20	IP
TJKV06M.23	60	0	0.008333	21.2	21.2	2018/03/20	IP
TJKV06M.24	60	0	0.008333	19	19	2018/03/20	IP
TJKV06M.28	60	0	0.008333	20.1	20.1	2018/03/20	IP
TJKV06M.29	60	0	0.008333	15.7	15.7	2018/03/20	IP
TJKV06M.03	60	0.186152194667062	0.186152194667062	15.3	15.3	2018/03/20	IP
