Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,WeeksNom,TimeNom,Weeks,FullGroup,Time
0.1277653611187765,0.11372079665918738,-0.12129125,0.3284832249999997,FP,Female,4,0,4,Female_FP,0
0.12646827618406775,0.11506299166348655,-0.126277815,0.32837615249999996,FP,Female,4,30,4,Female_FP,30
0.12689555786973236,0.11489425122099894,-0.12430102125,0.3285086099999992,FP,Female,4,60,4,Female_FP,60
0.17241409755290205,0.13004762481096474,-0.1166513975,0.39543009499999987,FP,Male,4,0,4,Male_FP,0
0.19490369508312427,0.1317467349322613,-0.0989002,0.4198124699999996,FP,Male,4,30,4,Male_FP,30
0.1871249258023188,0.13117548457729122,-0.10625796100000003,0.41163348149999995,FP,Male,4,60,4,Male_FP,60
0.1269119596634909,0.11487205977282969,-0.123718075,0.3287048079999998,FP,Female,8,0,8,Female_FP,0
0.1296374249008623,0.11416495235445545,-0.12002301750000005,0.3302415424999998,FP,Female,8,30,8,Female_FP,30
0.1296827414016584,0.11548847510458989,-0.12350357749999999,0.33253685749999984,FP,Female,8,60,8,Female_FP,60
0.17227899727309193,0.13037861343537438,-0.11870603,0.39647464999999993,FP,Male,8,0,8,Male_FP,0
0.19001161114397058,0.13138400497933486,-0.10291922699999988,0.41485962907499985,FP,Male,8,30,8,Male_FP,30
0.21377810284927623,0.1331985084039849,-0.08483986499999996,0.44105690949999987,FP,Male,8,60,8,Male_FP,60
0.12677603426952114,0.11492024494967568,-0.12521546249999999,0.32802632000000004,FP,Female,10,0,10,Female_FP,0
0.1317653898384946,0.1142558798958539,-0.11783766100000005,0.33313170524999997,FP,Female,10,30,10,Female_FP,30
0.1530452685382645,0.11399653721861909,-0.09467403499999998,0.3552411037499999,FP,Female,10,60,10,Female_FP,60
0.19737720055398922,0.13074016552418433,-0.09293065999999998,0.4229398799999999,FP,Male,10,0,10,Male_FP,0
0.1978261121174387,0.13002850221811038,-0.09070572,0.42146090225,FP,Male,10,30,10,Male_FP,30
0.1847557908550705,0.12873843338647964,-0.1010678605,0.40816193499999975,FP,Male,10,60,10,Male_FP,60
0.12721167398809316,0.1149276602525127,-0.123923325,0.32952292499999997,FP,Female,12,0,12,Female_FP,0
0.1430392637431457,0.11574988972077638,-0.11035813750000002,0.3464866075,FP,Female,12,30,12,Female_FP,30
0.1978726172572812,0.11754349138129216,-0.05887567750000001,0.40389915749999983,FP,Female,12,60,12,Female_FP,60
0.17988472280367812,0.12964551034870309,-0.10889096449999999,0.4030513375,FP,Male,12,0,12,Male_FP,0
0.21439279107303275,0.13209513742005682,-0.0794842775,0.44145355749999987,FP,Male,12,30,12,Male_FP,30
0.2729156694976291,0.13577108927066656,-0.03052605825,0.5028310174999997,FP,Male,12,60,12,Male_FP,60
0.18537210850167687,0.11295701716443693,-0.0578355375,0.38779802499999994,FP,Female,16,0,16,Female_FP,0
0.2654678453847265,0.11364683305940179,0.02141174500000001,0.47022809999999987,FP,Female,16,30,16,Female_FP,30
0.41090912610440844,0.10813022601737632,0.1775636625,0.6058195824999996,FP,Female,16,60,16,Female_FP,60
0.40860824573930615,0.10679231421003363,0.1797454375,0.60336842,FP,Female,16,90,16,Female_FP,90
0.4891189043737378,0.10844917537553,0.25413786499999996,0.6833120499999998,FP,Female,16,120,16,Female_FP,120
0.25732352041628503,0.12924777646923857,-0.02822285499999999,0.48147202499999997,FP,Male,16,0,16,Male_FP,0
0.4278788452594695,0.12081286050291218,0.15673895499999996,0.6349781124999999,FP,Male,16,30,16,Male_FP,30
0.46166185601452303,0.12299364199629227,0.19052280000000005,0.6776798399999999,FP,Male,16,60,16,Male_FP,60
0.5179801422755484,0.12325281343384169,0.24746798594999997,0.736115764,FP,Male,16,90,16,Male_FP,90
0.49565879823561326,0.1180944699256541,0.236242715,0.7044130474999993,FP,Male,16,120,16,Male_FP,120
0.5068792153438446,0.11317285210969492,0.25972261999999996,0.7065400499999999,FP,Female,21,0,21,Female_FP,0
0.7029669066443638,0.09563874074110908,0.5034690475,0.8823811749999998,FP,Female,21,30,21,Female_FP,30
0.8888160688834499,0.09223770396151969,0.702701685,1.0664194175,FP,Female,21,60,21,Female_FP,60
0.9265594492069978,0.0938102600884742,0.7365466225000001,1.106872075,FP,Female,21,90,21,Female_FP,90
0.9970085498558512,0.0930484509064519,0.8032465425,1.1711733249999996,FP,Female,21,120,21,Female_FP,120
0.43518338593320927,0.13074111189659438,0.14182891750000004,0.6580110024999998,FP,Male,21,0,21,Male_FP,0
0.5436002065630917,0.11343246972221245,0.29972551499999994,0.7492782274999998,FP,Male,21,30,21,Male_FP,30
0.8227032411607461,0.10114268667079859,0.6122816135000001,1.0127079025,FP,Male,21,60,21,Male_FP,60
0.845136986163605,0.10165724753513801,0.638172158725,1.0383921475,FP,Male,21,90,21,Male_FP,90
0.8725117573440149,0.10359833615254162,0.6632241527499999,1.0713918049999998,FP,Male,21,120,21,Male_FP,120
0.10007043240378485,0.08750641855566042,-0.08457803100000001,0.26126741499999995,KC,Female,4,0,4,Female_KC,0
0.09921524791166089,0.08776258509756225,-0.08618451799999996,0.2604841524999998,KC,Female,4,30,4,Female_KC,30
0.1016476333728752,0.08710095261080711,-0.08202120750000001,0.26183710250000003,KC,Female,4,60,4,Female_KC,60
0.1798388030796015,0.12586352756597513,-0.09893515,0.3968162749999996,KC,Male,4,0,4,Male_KC,0
0.17865512154603977,0.12620563359149722,-0.10116701875,0.39598940999999993,KC,Male,4,30,4,Male_KC,30
