AnimalID	BW	BG	Date
TJKV06M.20	19.7	9.5	2018/02/17
TJKV06M.06	19.3	8.4	2018/02/17
TJKV06M.07	21.6	8.8	2018/02/17
TJKV06M.11	23.9	9.5	2018/02/17
TJKV06M.13	20.7	9.3	2018/02/17
TJKV06M.15	19.9	10.8	2018/02/17
TJKV06M.18	19.9	8.8	2018/02/17
TJKV06M.02	19	9.4	2018/02/17
TJKV06M.28	15.7	6.8	2018/02/17
TJKV06M.29	15.7	6.3	2018/02/17
TJKV06M.03	17.7	7	2018/02/17
TJKV06M.34	15.9	7.2	2018/02/17
TJKV06M.42	14.4	6	2018/02/17
TJKV06M.43	16.8	6.4	2018/02/17
TJKV06M.41	16.2	7.1	2018/02/17
TJKV06M.45	16.8	6.9	2018/02/17
TJKV06M.10	19.7	8.9	2018/02/17
TJKV06M.08	20.8	9.4	2018/02/17
TJKV06M.09	20.8	10.3	2018/02/17
TJKV06M.12	23.9	10.4	2018/02/17
TJKV06M.14	22.1	11.5	2018/02/17
TJKV06M.16	20.6	9.2	2018/02/17
TJKV06M.17	20.9	10.5	2018/02/17
TJKV06M.21	23.1	9.3	2018/02/17
TJKV06M.26	17.6	7.1	2018/02/17
TJKV06M.32	18.2	8.4	2018/02/17
TJKV06M.35	16.1	6.8	2018/02/17
TJKV06M.36	17.9	7.5	2018/02/17
TJKV06M.37	17.2	6.2	2018/02/17
TJKV06M.38	17.5	8.1	2018/02/17
TJKV06M.47	16.7	7.4	2018/02/17
TJKV06M.48	16.2	6.9	2018/02/17
TJKV06M.30	20.6	11.8	2018/02/18
TJKV06M.04	20.1	10.1	2018/02/18
TJKV06M.05	26	9.3	2018/02/18
TJKV06M.01	18.3	11	2018/02/18
TJKV06M.19	20.7	10.9	2018/02/18
TJKV06M.22	20.5	11.2	2018/02/18
TJKV06M.23	21.8	12.5	2018/02/18
TJKV06M.24	22.5	9.6	2018/02/18
TJKV06M.25	18.1	7.2	2018/02/18
TJKV06M.27	15.9	8.4	2018/02/18
TJKV06M.31	15	9.3	2018/02/18
TJKV06M.33	17.6	9.8	2018/02/18
TJKV06M.39	18.5	7.7	2018/02/18
TJKV06M.40	18.2	8.4	2018/02/18
TJKV06M.44	17.1	8.5	2018/02/18
TJKV06M.46	17.7	7.6	2018/02/18
TJKV06M.20	19.9	7.9	2018/02/18
TJKV06M.06	19.6	8.6	2018/02/18
TJKV06M.07	21.6	10	2018/02/18
TJKV06M.11	23.8	9.8	2018/02/18
TJKV06M.13	21.4	12	2018/02/18
TJKV06M.15	20.4	10.2	2018/02/18
TJKV06M.18	20.5	11.3	2018/02/18
TJKV06M.02	19.4	10.8	2018/02/18
TJKV06M.28	15.8	6	2018/02/18
TJKV06M.29	16.2	8.1	2018/02/18
TJKV06M.03	18.1	8.4	2018/02/18
TJKV06M.34	15.8	8.9	2018/02/18
TJKV06M.42	14.8	8.3	2018/02/18
TJKV06M.43	17.1	6.4	2018/02/18
TJKV06M.41	16.3	9.3	2018/02/18
TJKV06M.45	17.3	7.9	2018/02/18
TJKV06M.10	21.2	9.2	2018/02/18
TJKV06M.08	21.1	9.8	2018/02/18
TJKV06M.09	21	11	2018/02/18
TJKV06M.12	24	9.2	2018/02/18
TJKV06M.14	22.4	11.9	2018/02/18
TJKV06M.16	21.3	11.1	2018/02/18
TJKV06M.17	21	11.2	2018/02/18
TJKV06M.21	23.1	10.3	2018/02/18
TJKV06M.26	17.7	9.6	2018/02/18
TJKV06M.32	18.2	7.7	2018/02/18
TJKV06M.35	16.3	7.8	2018/02/18
TJKV06M.36	18.3	8.7	2018/02/18
TJKV06M.37	17.5	7.4	2018/02/18
TJKV06M.38	17.8	8.3	2018/02/18
TJKV06M.47	16.6	7	2018/02/18
TJKV06M.48	15.9	5.6	2018/02/18
TJKV06M.30	23.5	11.8	2018/03/02
TJKV06M.04	21.3	11	2018/03/02
TJKV06M.05	26.8	9.8	2018/03/02
TJKV06M.01	19.7	10	2018/03/02
TJKV06M.19	22.5	10.4	2018/03/02
TJKV06M.22	23.1	11.7	2018/03/02
TJKV06M.23	23.5	9.6	2018/03/02
TJKV06M.24	22.2	9.5	2018/03/02
TJKV06M.25	18.2	9.4	2018/03/02
TJKV06M.27	16.5	7.5	2018/03/02
TJKV06M.31	16.5	9.2	2018/03/02
TJKV06M.33	19.1	8.1	2018/03/02
TJKV06M.40	18.3	7.8	2018/03/02
TJKV06M.44	18.3	8.5	2018/03/02
TJKV06M.46	19	9	2018/03/02
TJKV06M.20	20.7	8.8	2018/03/02
