Estimate,Est.Error,Q2.5,Q97.5,Group,Sex,DaysNom,Days,FullGroup,Weeks
17.438661650839826,0.5918497903158798,16.264265552631407,18.5917232926143,FP,Female,-5,-5,Female_FP,-1
20.770608496408617,0.5884694386824589,19.60698260899519,21.945252305223462,FP,Male,-5,-5,Male_FP,-1
17.13804371311965,0.5907160744380564,15.966837670859814,18.286934197276562,FP,Female,-3,-3,Female_FP,-0
21.095323884796557,0.5875728150768853,19.947904639731128,22.25723385230966,FP,Male,-3,-3,Male_FP,-0
17.273468677716732,0.586241182522891,16.11972621920262,18.41841919431282,FP,Female,-2,-2,Female_FP,-0
21.31940737312081,0.5830844270320649,20.173943797394582,22.47266269061347,FP,Male,-2,-2,Male_FP,-0
18.1682663334865,0.5785129699344485,17.02076019519969,19.302072769341148,FP,Female,10,10,Female_FP,1
22.833049955137998,0.5645288881324617,21.741776830889062,23.96572470610989,FP,Male,10,10,Male_FP,1
18.57048907229901,0.5936208503997312,17.386248898982398,19.742517557622204,FP,Female,15,15,Female_FP,2
23.28385460454422,0.5837829913257869,22.147794508599276,24.440746170274664,FP,Male,15,15,Male_FP,2
19.925253083761874,0.6387650721977614,18.67986778185798,21.183943428239317,FP,Female,22,22,Female_FP,3
24.460120153973495,0.6260233151466401,23.23214214616596,25.701929474549924,FP,Male,22,22,Male_FP,3
20.318959297764838,0.6366216623393304,19.072992301016384,21.58678030366728,FP,Female,29,29,Female_FP,4
25.670822422216354,0.6209651545190558,24.44956133564442,26.900770711224524,FP,Male,29,29,Male_FP,4
20.92540338535137,0.6869109540039593,19.59819062111898,22.280626386681156,FP,Female,36,36,Female_FP,5
26.28310232365319,0.6643846590615883,24.97925739844491,27.59930905465746,FP,Male,36,36,Male_FP,5
23.11511469184598,0.7416917078617872,21.684687226850762,24.57672014585016,FP,Female,43,43,Female_FP,6
27.64621244823838,0.7105251635937789,26.267170052073247,29.038801094138083,FP,Male,43,43,Male_FP,6
22.64209987725941,0.7047384478831902,21.280309649689578,24.03590296197906,FP,Female,50,50,Female_FP,7
28.022411319117342,0.6818999963067458,26.67046098597689,29.389285556486218,FP,Male,50,50,Male_FP,7
23.01704776541716,0.6773019709790324,21.687897082091173,24.337621301216775,FP,Female,64,64,Female_FP,9
28.946762142584525,0.65461197686883,27.646035797750816,30.23431355660013,FP,Male,64,64,Male_FP,9
23.508377218564902,0.7524454949074143,22.023901134454466,24.95295369657024,FP,Female,78,78,Female_FP,11
29.573251634962322,0.7278005260116674,28.12488701308258,30.988949216309212,FP,Male,78,78,Male_FP,11
24.68923563687091,0.8528848978176428,23.00839671665863,26.349913115715164,FP,Female,92,92,Female_FP,13
29.8375654100744,0.8235256346599269,28.2215225046511,31.45057867369975,FP,Male,92,92,Male_FP,13
25.294965103063312,0.8470102403085052,23.620496315263548,26.97241241162636,FP,Female,99,99,Female_FP,14
30.776273477218144,0.8121924653200749,29.200183074632832,32.36863156669951,FP,Male,99,99,Male_FP,14
25.856485625546306,0.8375867185715605,24.21121452764295,27.53631769844904,FP,Female,130,130,Female_FP,19
30.42513253442728,0.7879594494818315,28.884959251019293,31.975674117231875,FP,Male,130,130,Male_FP,19
26.697760262671423,0.9388477151833172,24.86956378495351,28.58285984952118,FP,Female,143,143,Female_FP,20
31.387246730454123,0.8749175937030123,29.674160225875998,33.10128395044137,FP,Male,143,143,Male_FP,20
25.72367385749121,0.9218405193460124,23.907990604203533,27.51059599071945,FP,Female,164,164,Female_FP,23
31.156298696704248,0.8533185053666029,29.492790205931552,32.841292964246264,FP,Male,164,164,Male_FP,23
25.078989188405743,0.9903933606587474,23.15473168028642,27.05674150193335,FP,Female,183,183,Female_FP,26
31.805385224771342,0.9062016690168873,30.011100296006727,33.5734561382839,FP,Male,183,183,Male_FP,26
26.248472445822355,1.1200802511060792,24.07611087414764,28.50803953503109,FP,Female,191,191,Female_FP,27
31.916997201224824,1.029405779484757,29.871788467096412,33.94247216962862,FP,Male,191,191,Male_FP,27
16.45890744839132,0.590935855446215,15.297097526776481,17.635665502317465,KC,Female,-5,-5,Female_KC,-1
20.418342090162696,0.5802063902408516,19.255742611684706,21.553672860690725,KC,Male,-5,-5,Male_KC,-1
16.146960222094183,0.5911310707435052,15.007275278178717,17.323433896130368,KC,Female,-3,-3,Female_KC,-0
20.49359387075157,0.5809826049816664,19.338869647267124,21.631410573819757,KC,Male,-3,-3,Male_KC,-0
16.421011842339475,0.5850150258109531,15.278482012576449,17.58509321758219,KC,Female,-2,-2,Female_KC,-0
20.820296082504182,0.5746298261946473,19.674495765787253,21.941384901471103,KC,Male,-2,-2,Male_KC,-0
17.345294166333034,0.569969281646971,16.219060461970777,18.474761804559293,KC,Female,10,10,Female_KC,1
21.63166443077884,0.5556366013536664,20.529111258321002,22.711043469236525,KC,Male,10,10,Male_KC,1
17.818795863016845,0.5914164464702608,16.669356353383435,18.9761674268317,KC,Female,15,15,Female_KC,2
21.893533541261508,0.5782166582879884,20.748246729371097,23.02965281870388,KC,Male,15,15,Male_KC,2
19.055125892254996,0.631558451043495,17.84056533018643,20.304958240002758,KC,Female,22,22,Female_KC,3
22.754694966807964,0.6184401366926269,21.517659756074984,23.963248082131766,KC,Male,22,22,Male_KC,3
19.93353224866453,0.6258213862122537,18.733384218008624,21.176359046279924,KC,Female,29,29,Female_KC,4
23.43169825548137,0.6202229475184279,22.19579331697016,24.655470021147533,KC,Male,29,29,Male_KC,4
20.12248264275112,0.6774746072473661,18.816595721439086,21.47235581872705,KC,Female,36,36,Female_KC,5
24.042877283134303,0.6699573477481846,22.70501271634081,25.357461631993925,KC,Male,36,36,Male_KC,5
21.860285936514032,0.7146455570984421,20.47291741655325,23.268880567414435,KC,Female,43,43,Female_KC,6
